epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,8811.92,1.59953,1.16818,1.66432,0.75705,0.6417,0.68555,0.28239,1.78846,1.42101,1.99134,0.000614,0.000614,0.000614
58,8956.52,1.54044,1.16959,1.58695,0.74623,0.77858,0.7775,0.34739,1.7954,1.27112,1.95958,0.00058925,0.00058925,0.00058925
59,9095.4,1.49048,1.14976,1.58301,0.827,0.7031,0.76932,0.33894,1.85752,1.32575,1.99975,0.0005645,0.0005645,0.0005645
60,9236.9,1.4293,1.07573,1.59796,0.76909,0.7839,0.74234,0.30946,1.75207,1.25908,1.94781,0.00053975,0.00053975,0.00053975
61,9380.03,1.49022,1.17516,1.6256,0.70129,0.75967,0.71816,0.28942,1.82737,1.33251,2.04789,0.000515,0.000515,0.000515
62,9523.08,1.52298,1.1517,1.61066,0.72028,0.76471,0.7068,0.28365,1.85927,1.36224,2.07666,0.00049025,0.00049025,0.00049025
63,9676.97,1.48039,1.13467,1.60138,0.80526,0.72986,0.74995,0.31509,1.80852,1.28545,2.00909,0.0004655,0.0004655,0.0004655
64,9830.67,1.41603,1.09654,1.52219,0.81231,0.76381,0.75686,0.31864,1.71344,1.26322,1.93956,0.00044075,0.00044075,0.00044075
65,9983.39,1.43941,1.00267,1.58163,0.81135,0.76471,0.78287,0.33978,1.68654,1.23999,1.92884,0.000416,0.000416,0.000416
66,10149.1,1.47144,1.16183,1.66428,0.86086,0.70588,0.77138,0.33611,1.67451,1.2297,1.88654,0.00039125,0.00039125,0.00039125
67,10306.6,1.43115,1.05477,1.58912,0.89122,0.72318,0.75948,0.32715,1.71378,1.28517,1.87572,0.0003665,0.0003665,0.0003665
68,10464.7,1.47212,1.05662,1.5445,0.80956,0.76471,0.75521,0.29776,1.85271,1.23816,1.97307,0.00034175,0.00034175,0.00034175
69,10627.4,1.54537,1.10996,1.5905,0.81213,0.7629,0.72322,0.28494,1.86995,1.26157,2.00198,0.000317,0.000317,0.000317
70,10776,1.43315,1.04929,1.55273,0.80573,0.73202,0.73847,0.30623,1.85559,1.24465,1.9881,0.00029225,0.00029225,0.00029225
71,10924.3,1.36213,0.96961,1.56154,0.78239,0.67647,0.73629,0.34112,1.87607,1.25475,1.98188,0.0002675,0.0002675,0.0002675
72,11073.8,1.41229,0.93664,1.65172,0.85066,0.61765,0.77062,0.34237,1.8911,1.36389,1.98093,0.00024275,0.00024275,0.00024275
73,11227.8,1.48734,0.95255,1.65195,0.70394,0.73529,0.7517,0.33028,1.89112,1.38022,1.98768,0.000218,0.000218,0.000218
74,11387.7,1.4428,0.90264,1.62464,0.74996,0.79393,0.75961,0.33534,1.88025,1.37815,2.00778,0.00019325,0.00019325,0.00019325
75,11550.8,1.26695,0.86592,1.53499,0.78555,0.79412,0.76277,0.34422,1.83922,1.31628,2.01479,0.0001685,0.0001685,0.0001685
76,11709.1,1.28454,0.76441,1.54035,0.77601,0.73529,0.74424,0.32564,1.81753,1.26722,2.02672,0.00014375,0.00014375,0.00014375
77,11862.1,1.28829,0.85504,1.58592,0.77719,0.73529,0.74065,0.33125,1.8248,1.28507,2.03027,0.000119,0.000119,0.000119
78,12023,1.35341,0.81276,1.58249,0.80743,0.76471,0.74726,0.32225,1.82025,1.29128,2.01452,9.425e-05,9.425e-05,9.425e-05
79,12176.5,1.29022,0.87254,1.57125,0.80651,0.76471,0.74552,0.31291,1.81939,1.27705,2.00797,6.95e-05,6.95e-05,6.95e-05
80,12333,1.23261,0.7921,1.44872,0.80359,0.76471,0.75152,0.31851,1.81616,1.2716,2.00205,4.475e-05,4.475e-05,4.475e-05
